,date,discount_ratio,discount_value,discount_volume,full_discount_value,full_preminum_value,full_value,preminum_ratio,preminum_value,preminum_volume,ratio,row_volume,value
165,2009-03-20,-1757.51981152,-0.461546122033,0.0,0.0,0.0,0.0,-609.467778685,3.02779593291,0.0,-1110.20287998,0.0,2.12960551165
166,2009-03-27,-1558.65126926,5.43430009214,0.0,0.0,0.0,0.0,-489.519966215,5.90203768132,0.0,-995.795163871,0.0,5.52444923094
167,2009-04-03,-1484.66873733,3.121961032,0.0,0.0,0.0,0.0,-475.666061528,2.68542365193,0.0,-966.845553861,0.0,2.34399925192
168,2009-04-17,-1461.33576983,3.46341537961,0.0,0.0,0.0,0.0,-405.065416232,5.14966166857,0.0,-837.293632893,0.0,4.20931553737
169,2009-04-24,-1400.29708277,0.56059486271,0.0,0.0,0.0,0.0,-433.919053678,-0.0761391993697,0.0,-865.100616172,0.0,-0.0351184813858
170,2009-05-01,-1324.34904673,2.69134533976,0.0,0.0,0.0,0.0,-269.908420915,3.39363042345,0.0,-786.798553446,0.0,2.64554143185
171,2009-05-08,-1328.52395234,3.65832773664,0.0,0.0,0.0,0.0,-330.059134765,3.5495747484,0.0,-792.948677562,0.0,3.81301606732
172,2009-05-15,-1555.29416614,-3.58843122243,0.0,0.0,0.0,0.0,-538.677332919,-2.2022648448,0.0,-962.592709265,0.0,-2.98287076554
173,2009-05-22,-1333.08043197,4.31917632766,0.0,0.0,0.0,0.0,-307.594677189,4.26522095495,0.0,-768.533032598,0.0,3.66135507292
174,2009-05-29,-1170.48430931,2.63595219436,0.0,0.0,0.0,0.0,-74.17592557,4.87868123246,0.0,-647.951260695,0.0,3.43735864762
175,2009-06-05,-1085.71400848,2.5964764948,0.0,0.0,0.0,0.0,-69.7082498171,2.18252549938,0.0,-475.618628798,0.0,2.70627517714
