,Ticker,Company,Country,Sector,Date,Weight
11,NSL US,NUVEEN SENIOR INCOME FUND,United States,Senior Loan,2016-09-30,1.23557
12,NHF US,NEXPOINT CREDIT STRATEGIES FUN,United States,Limited Duration Bond Funds,2016-09-30,2.28407
13,AIF US,APOLLO TACTICAL INCOME FUND IN,United States,Limited Duration Bond Funds,2016-09-30,1.4167
14,FCT US,FIRST TRUST SENIOR FLOATING RA,United States,Senior Loan,2016-09-30,1.78247
15,EVG US,EATON VANCE SHORT DURATION DIV,United States,Limited Duration Bond Funds,2016-09-30,1.55605
16,JSD US,NUVEEN SHORT DURATION CREDIT O,United States,Senior Loan,2016-09-30,1.02409
17,BGT US,BLACKROCK FLOATING RATE INM CF,United States,Senior Loan,2016-09-30,1.59889
18,FRA US,FRAPORT AG FRANKFURT AIRPORT SERVICES WORLDWIDE,United States,Senior Loan,2016-09-30,3.17573
19,MSD US,MORGAN STANLEY EMRG MKT DEBT,United States,Senior Loan,2016-09-30,1.50639
20,JQC US,NUVEEN CREDIT STRATEGIES INCOM,United States,Senior Loan,2016-09-30,7.23468
21,EVF US,EATON VANCE SENIOR INCOME TRUS,United States,Senior Loan,2016-09-30,1.49152
22,BSL US,BLACKSTONE GSO SENIOR FLOAT RATE CF,United States,Senior Loan,2016-09-30,1.10036
23,BGX US,BLACKSTONE/GSO LONG-SHORT CRED,United States,Senior Loan,2016-09-30,1.24019
24,ISD US,PRUDENTIAL SHORT DURATION HIGH,United States,Limited Duration Bond Funds,2016-09-30,2.6504
25,BIT US,BLACKROCK MULTI-SECTOR INCOM,United States,Senior Loan,2016-09-30,4.14796
26,KIO US,KUMBA IRON ORE,United States,Limited Duration Bond Funds,2016-09-30,1.54577
27,PHD US,PIONEER FLOATING RATE TRUST,United States,Senior Loan,2016-09-30,1.45675
28,ARDC US,ARES DYNAMIC CREDIT ALLOCATION,United States,Senior Loan,2016-09-30,2.49955
29,ESD US,WESTERN ASST EMER MKT DEBT CF,United States,Limited Duration Bond Funds,2016-09-30,3.18421
30,EFR US,EATON VANCE SENIOR FLOATING RATE TRUST,United States,Senior Loan,2016-09-30,2.5467
