Index,Currency,Date,Price,"Total Return"
CEFX,USD,2009-04-28,579.61982051845100,832.33532181090000
CEFX,USD,2009-04-29,586.99811856171400,842.93057383448200
CEFX,USD,2009-04-30,589.98330146005800,847.21730296347400
CEFX,USD,2009-05-01,597.37549270562400,858.35133144352900
CEFX,USD,2009-05-04,607.85792186496600,873.41322657573700
CEFX,USD,2009-05-05,606.65788916424600,871.68893477097500
CEFX,USD,2009-05-06,614.34324585266700,883.01303385909800
CEFX,USD,2009-05-07,609.50044431362000,876.84280294039100
CEFX,USD,2009-05-08,622.19740269177700,895.10896940013600
CEFX,USD,2009-05-11,616.26191412334600,886.87297422375800
CEFX,USD,2009-05-12,615.24903963307200,885.41532936348500
CEFX,USD,2009-05-13,598.83891084454700,862.85673777238700
CEFX,USD,2009-05-14,602.87312210920400,868.83834922858300
CEFX,USD,2009-05-15,599.98669715827100,864.67854080858400
CEFX,USD,2009-05-18,615.42130699606500,886.95361788629800
CEFX,USD,2009-05-19,623.21872421143000,898.24075486080400
CEFX,USD,2009-05-20,622.86812891247200,900.92459671167000
CEFX,USD,2009-05-21,617.01108976999400,892.45289879934400
CEFX,USD,2009-05-22,623.26562227197000,901.49953629836300
CEFX,USD,2009-05-26,633.73221993058100,916.63855985218000
CEFX,USD,2009-05-27,629.71160645086100,910.89520638088700
CEFX,USD,2009-05-28,639.43121825232700,924.95489292174200
CEFX,USD,2009-05-29,645.67179126436700,933.98205390068100
CEFX,USD,2009-06-01,655.87421084331900,949.26276381191600
CEFX,USD,2009-06-02,661.16127265888100,956.91485750383100
CEFX,USD,2009-06-03,652.07729483873300,944.05067601684400
CEFX,USD,2009-06-04,661.79800461525900,958.12391964689900
CEFX,USD,2009-06-05,663.86997431958600,961.12363212813200
CEFX,USD,2009-06-08,659.44291228396800,955.13827463642600
CEFX,USD,2009-06-09,664.20496801577200,962.40805089946900
CEFX,USD,2009-06-10,662.69297993976600,960.52236304197300
CEFX,USD,2009-06-11,660.75285613912200,965.41358381045300
CEFX,USD,2009-06-12,661.77160620649100,967.07321192071300
CEFX,USD,2009-06-15,647.14032781545800,945.69194192450900
CEFX,USD,2009-06-16,647.72596056337900,946.54775038958600
CEFX,USD,2009-06-17,644.60667566731900,942.59022280144100
CEFX,USD,2009-06-18,645.75574215874200,945.85259870096400
CEFX,USD,2009-06-19,646.31495709093800,950.10136279939300
CEFX,USD,2009-06-22,632.00163531187600,929.31465265964100
CEFX,USD,2009-06-23,634.25856223452000,932.70152128126800
CEFX,USD,2009-06-24,640.56653130668100,941.97763153049000
CEFX,USD,2009-06-25,650.51203350195100,956.60287363168300
CEFX,USD,2009-06-26,652.02217185511500,959.44576162566600
CEFX,USD,2009-06-29,656.63292512286900,966.23045066171800
CEFX,USD,2009-06-30,655.91661650456300,965.62671536931300
CEFX,USD,2009-07-01,661.32667642775900,973.68222615866400
CEFX,USD,2009-07-02,658.86034690801200,970.05100833119000
CEFX,USD,2009-07-06,652.53518794148800,960.73837195517200
CEFX,USD,2009-07-07,647.69870870521100,953.61754341853200
CEFX,USD,2009-07-08,641.05717742938100,944.80403230385300
CEFX,USD,2009-07-09,644.65932489167200,950.32321326628400
CEFX,USD,2009-07-10,648.08403699847700,955.37174555021200
CEFX,USD,2009-07-13,654.80611786890400,966.55744884957900
CEFX,USD,2009-07-14,659.33490302899400,973.34562570347800
CEFX,USD,2009-07-15,669.05164586235100,987.73856842635900
CEFX,USD,2009-07-16,674.78601207442000,996.20436431546500
CEFX,USD,2009-07-17,677.54158733931500,1000.27249266426000
CEFX,USD,2009-07-20,682.87214041940500,1008.17169136718000
CEFX,USD,2009-07-21,683.58045179337300,1009.28591010029000
CEFX,USD,2009-07-22,682.71811100133100,1009.35833986837000
CEFX,USD,2009-07-23,690.47710743854400,1020.82955710534000
CEFX,USD,2009-07-24,692.04926251109500,1023.15389537683000
